1 Pc Taco  Barbacoa ,2.75,518
1 Pc Taco  Carnitas ,2.55,518
1 Pc Taco  Chicken ,2.40,265
12 pc Specialty Chicken  Classic Hot Buffalo,5.99,520
12 pc Specialty Chicken  Spicy Jalapeno  Pineapple,5.99,510
14 pc Boneless Chicken,9.99,700
14 pc Wings,9.99,670
16 pc Parmesan Bread Bites,2.99,590
2 Cheeseburgers Meal,4.89,970
2 McGriddles Cakes,1.00,240
20 Pc Chicken McNuggets,5.00,940
3 Cookies,1.00,260
3 Pc Tacos  Chicken ,6.50,485
3 Pc Tacos  Steak ,7.50,510
4 Pc Chicken McNuggets,1.99,190
4 Pc Chicken McNuggets,3.19,190
40 pc Boneless Chicken,25.99,2000
40 pc Wings ,25.99,1930
6 Pc Chicken McNuggets,3.99,280
7Layer Burrito,2.59,430
8 pc Boneless Chicken,5.99,400
8 pc Wings ,5.99,390
8pc Breadsticks,4.99,870
A.M. Crunchwrap  Bacon,2.49,660
A.M. Crunchwrap  Sausage,2.49,710
A.M. Crunchwrap  Steak,2.99,650
A.M. Grilled Taco  Bacon,1.00,230
A.M. Grilled Taco  Sausage,1.00,220
Apple Slices  2 Bags ,1.00,15
Bacon and Cheese Quarter Pounder,4.09,600
Bacon Buffalo Ranch McChicken,2.00,470
Bacon Cheddar McChicken,2.00,490
Bacon Clubhouse Burger,4.49,720
Bacon Habanero Ranch Quarter Pounder,4.09,610
Bacon McDouble,2.00,440
"Bacon, Egg and Cheese Bagel",3.29,590
"Bacon, Egg and Cheese Biscuit",3.19,460
"Bacon, Egg and Cheese McGriddles",3.29,460
BBQ Ranch Burger,1.00,340
Bean Burrito,1.19,370
Beefy 5Layer Burrito,1.49,510
Beefy Fritos Burrito,1.00,440
Beefy Mini Quesadilla,1.00,210
Beefy Nacho Griller,1.49,400
Big Breakfast,3.49,740
Big Breakfast with Hotcakes,5.29,1090
Big Mac,3.99,540
Big Mac Meal,5.69,1100
Biscuit Taco  Bacon Egg and Cheese,2.69,380
Biscuit Taco  Chicken with Gravy,2.69,390
Biscuit Taco  Chicken with Jalapeno Honey,2.69,470
Biscuit Taco  Egg and Cheese,2.69,310
Black Forest Ham 12 Inch,6.11,580
Black Forest Ham 6 Inch,4.16,290
Bowl  Barbacoa ,7.50,718
Bowl  Chicken ,6.50,578
Bowl  Steak ,7.50,963
Bowl  Vegetarian ,6.50,645
Buffalo Chicken,5.99,860
Buffalo Ranch McChicken,1.00,390
Burrito  Barbacoa ,7.50,560
Burrito  Carnitas ,6.95,590
Burrito  Chicken ,6.50,704
Burrito  Steak ,7.50,863
Burrito  Vegetarian ,6.50,510
Burrito Supreme  Beef,2.79,410
California A.M. Crunchwrap,2.79,630
Cantina Power Bowl  Chicken,4.99,490
Cantina Power Bowl  Steak,5.19,500
Cantina Power Burrito  Chicken,3.79,460
Cantina Power Burrito  Steak,3.99,470
Capt Crunch Delights  12 Pack,4.49,970
Capt Crunch Delights  2 Pack,1.00,155
Capt Crunch Delights  4 Pack,1.69,320
Caramel Apple Empanada,1.00,310
Caramel Apple Parfait,1.00,170
Chalupa Supreme  Beef,2.49,370
Chalupa Supreme  Chicken,2.99,330
Chalupa Supreme  Steak,3.19,350
Cheese Quesadilla,2.19,460
Cheese RollUp,1.00,180
Cheeseburger,1.00,290
Cheeseburger,2.79,290
Cheesy Bean and Rice Burrito,1.00,420
Cheesy Burrito  Bacon,1.69,490
Cheesy Burrito  Fiesta Potato,1.69,530
Cheesy Burrito  Sausage,1.69,470
Cheesy Burrito  Steak and Egg,2.49,450
Cheesy Gordita Crunch,2.69,490
Cheesy Potato Burrito,2.59,510
Chicken and Bacon Ranch Melt 12 Inch,8.60,1220
Chicken and Bacon Ranch Melt 6 Inch,5.27,610
Chicken Apple Pecan Salad,6.49,780
Chicken Bacon Ranch,5.99,880
Chicken Burrito,1.69,400
Chicken Caesar Salad,6.49,170
Chicken Carbonara  Bread Bowl ,7.99,740
Chicken Carbonara  Dish ,6.99,670
Chicken Habanero,5.99,810
Chicken McNuggets  10 Pc ,4.49,480
Chicken McNuggets  20 Pc ,5.00,960
Chicken McNuggets  40 Pc ,8.99,1920
Chicken Parm,5.99,780
Chicken Quesadilla,3.19,510
Chicken Soft Taco,1.69,160
Chipotle BBQ Snack Wrap  Crispy ,1.69,350
Chipotle BBQ Snack Wrap  Grilled ,1.69,265
Chipotle Chicken Melt with Guacamole 12 Inch,9.16,960
Chipotle Chicken Melt with Guacamole 6 Inch,5.55,460
Chipotle Ranch Chicken Loaded Griller,1.49,280
Cinnabon Delights 12 Pack,4.49,985
Cinnabon Delights 2 Pack,1.00,160
Cinnabon Delights 4 Pack,1.69,330
Cinnamon Melts,1.59,460
Cinnamon Twists,1.00,165
Classic Tuna 12 Inch,7.49,960
Classic Tuna 6 Inch,4.72,480
Cold Cut Combo 12 Inch,6.11,410
Cold Cut Combo 6 Inch,4.16,360
Combo Burrito,2.39,460
Cool Ranch Doritos Locos Taco,1.49,160
Cool Ranch Doritos Locos Taco Supreme,1.79,200
Country AM Crunchwrap  Sausage,2.49,660
Country Grilled Breakfast Burrito  Sausage,1.29,390
Crunchwrap Supreme,2.69,540
