1 Pc Taco  Carnitas ,2.55,518,203.14
1 Pc Taco  Barbacoa ,2.75,518,188.36
Bowl  Steak ,7.50,963,128.40
Salad  Chicken ,6.50,785,120.77
Burrito  Steak ,7.50,863,115.07
1 Pc Taco  Chicken ,2.40,265,110.42
Burrito  Chicken ,6.50,704,108.31
Bowl  Vegetarian ,6.50,645,99.23
Bowl  Barbacoa ,7.50,718,95.73
Bowl  Chicken ,6.50,578,88.92
Salad  Carnitas ,6.95,600,86.33
Burrito  Carnitas ,6.95,590,84.89
Salad  Vegetarian ,6.50,550,84.62
Burrito  Vegetarian ,6.50,510,78.46
Salad  Steak ,7.50,570,76.00
Burrito  Barbacoa ,7.50,560,74.67
3 Pc Tacos  Chicken ,6.50,485,74.62
3 Pc Tacos  Steak ,7.50,510,68.00
