12 pc Specialty Chicken  Classic Hot Buffalo,5.99,520
12 pc Specialty Chicken  Spicy Jalapeno  Pineapple,5.99,510
14 pc Boneless Chicken,9.99,700
14 pc Wings,9.99,670
16 pc Parmesan Bread Bites,2.99,590
40 pc Boneless Chicken,25.99,2000
40 pc Wings ,25.99,1930
8 pc Boneless Chicken,5.99,400
8 pc Wings ,5.99,390
8pc Breadsticks,4.99,870
Buffalo Chicken,5.99,860
Chicken Apple Pecan Salad,6.49,780
Chicken Bacon Ranch,5.99,880
Chicken Caesar Salad,6.49,170
Chicken Carbonara  Bread Bowl ,7.99,740
Chicken Carbonara  Dish ,6.99,670
Chicken Habanero,5.99,810
Chicken Parm,5.99,780
Fiery Hawaiian  Hand Tossed or Thin Crust ,11.99,1300
Gluten Free Crust Cheese Pizza,8.99,450
"Large America's Favorite Feast  Hand Tossed, Thin Crust or Brooklyn Style ",15.99,1660
"Large Bacon Cheeseburger Feast  Hand Tossed, Thin Crust or Brooklyn Style ",15.99,1620
Large Crunchy Thin Crust Cheese Pizza,9.99,920
Medium America's Favorite Feast  Hand Tossed or Thin Crust ,13.99,1510
Medium America's Favorite Feast  Handmade Pan ,15.49,1510
Medium Bacon Cheeseburger Feast  Hand Tossed or Thin Crust ,13.99,1560
Medium Bacon Cheeseburger Feast  Handmade Pan ,15.49,1560
Medium Deluxe Feast  Hand Tossed or Thin Crust ,11.99,1260
Medium Hand Tossed Cheese Pizza,7.99,820
Medium Honolulu Hawaiian Pizza  Hand Tossed or Thin Crust  ,11.99,1290
Memphis BBQ Chicken  Hand Tossed or Thin Crust ,11.99,1250
Small Crunchy Thin Crust Cheese Pizza,5.99,490
Specialty Chicken  Crispy Bacon and Tomato,5.99,700
Specialty Chicken Sweet BBQ Bacon,5.99,580
Stuffed Cheesy Bread,5.99,1110
"Wisconsin 6 Cheese  Hand Tossed, Thin Crust or Brooklyn Style ",15.99,2760
