2 Cheeseburgers Meal,4.89,970
Chicken McNuggets  10 Pc ,4.49,480
"Wisconsin 6 Cheese  Hand Tossed, Thin Crust or Brooklyn Style ",15.99,2760
40 pc Boneless Chicken,25.99,2000
40 pc Wings ,25.99,1930
Chicken McNuggets  40 Pc ,8.99,1920
"Large America's Favorite Feast  Hand Tossed, Thin Crust or Brooklyn Style ",15.99,1660
"Large Bacon Cheeseburger Feast  Hand Tossed, Thin Crust or Brooklyn Style ",15.99,1620
Medium Bacon Cheeseburger Feast  Hand Tossed or Thin Crust ,13.99,1560
Medium Bacon Cheeseburger Feast  Handmade Pan ,15.49,1560
Medium America's Favorite Feast  Hand Tossed or Thin Crust ,13.99,1510
Medium America's Favorite Feast  Handmade Pan ,15.49,1510
Fiery Hawaiian  Hand Tossed or Thin Crust ,11.99,1300
Medium Honolulu Hawaiian Pizza  Hand Tossed or Thin Crust  ,11.99,1290
Medium Deluxe Feast  Hand Tossed or Thin Crust ,11.99,1260
Memphis BBQ Chicken  Hand Tossed or Thin Crust ,11.99,1250
Chicken and Bacon Ranch Melt 12 Inch,8.60,1220
Stuffed Cheesy Bread,5.99,1110
Big Mac Meal,5.69,1100
Big Breakfast with Hotcakes,5.29,1090
Cinnabon Delights 12 Pack,4.49,985
Capt Crunch Delights  12 Pack,4.49,970
Meatball Marinara 12 Inch,6.11,965
Bowl  Steak ,7.50,963
Chicken McNuggets  20 Pc ,5.00,960
Spicy Italian 12 Inch,6.11,960
Classic Tuna 12 Inch,7.49,960
Chipotle Chicken Melt with Guacamole 12 Inch,9.16,960
20 Pc Chicken McNuggets,5.00,940
Large Crunchy Thin Crust Cheese Pizza,9.99,920
Chicken Bacon Ranch,5.99,880
XXL Grilled Stuft Burrito  Beef,4.29,870
8pc Breadsticks,4.99,870
Burrito  Steak ,7.50,863
Grand Mac,5.39,860
Buffalo Chicken,5.99,860
Shakes  Large ,2.99,850
XXL Grilled Stuft Burrito  Steak,5.29,840
XXL Grilled Stuft Burrito  Chicken,4.99,830
Italian BMT 12 Inch,7.49,820
Medium Hand Tossed Cheese Pizza,7.99,820
Chicken Habanero,5.99,810
Salad  Chicken ,6.50,785
Double Quarter Pounder with Cheese,4.79,780
Fiesta Taco SaladBeef,4.99,780
Chicken Parm,5.99,780
Chicken Apple Pecan Salad,6.49,780
Nachos BellGrande,2.99,760
Steak and Cheese 12 Inch,8.60,760
Premium Crispy Chicken Bacon Clubhouse Sandwich,4.49,750
Big Breakfast,3.49,740
Fiesta Taco SaladChicken,5.49,740
Chicken Carbonara  Bread Bowl ,7.99,740
Sweet Onion Chicken Teriyaki 12 Inch,8.60,740
Rolled Chicken Tacos 4 Pack,3.99,720
Bacon Clubhouse Burger,4.49,720
Bowl  Barbacoa ,7.50,718
A.M. Crunchwrap  Sausage,2.49,710
Burrito  Chicken ,6.50,704
Shakes  Medium ,2.59,700
Volcano Quesarito  Beef,2.69,700
Smothered Burrito  Beef,2.99,700
Specialty Chicken  Crispy Bacon and Tomato,5.99,700
14 pc Boneless Chicken,9.99,700
Grande Scrambler Burrito  Steak,3.29,690
Premium McWrap Chicken and Bacon  Crispy ,3.99,690
Grande Scrambler Burrito  Bacon,2.49,680
Volcano Quesarito  Steak,3.29,680
Frappe  Large ,3.39,680
Quesarito  Beef,2.29,675
Grande Scrambler Burrito  Sausage,2.49,670
Volcano Quesarito  Chicken,3.29,670
Espresso and Chocolate  Large ,3.39,670
"Steak, Egg and Cheese Bagel",3.89,670
Premium Crispy Chicken Club Sandwich,4.49,670
Chicken Carbonara  Dish ,6.99,670
14 pc Wings,9.99,670
A.M. Crunchwrap  Bacon,2.49,660
Country AM Crunchwrap  Sausage,2.49,660
Premium McWrap Chicken and Ranch  Crispy ,3.99,660
Quesarito,2.29,650
McFlurry  Regular ,2.39,650
A.M. Crunchwrap  Steak,2.99,650
Quesarito  Chicken,2.99,650
Quesarito  Steak,3.29,650
Smothered Burrito  Shredded Chicken,3.99,650
Bowl  Vegetarian ,6.50,645
Oven Roasted Chicken 12 Inch,7.49,640
Roast Beef 12 Inch,8.60,640
California A.M. Crunchwrap,2.79,630
Subway Club 12 Inch,8.60,620
Bacon Habanero Ranch Quarter Pounder,4.09,610
Premium Crispy Chicken Ranch BLT Sandwich,4.29,610
Chicken and Bacon Ranch Melt 6 Inch,5.27,610
Bacon and Cheese Quarter Pounder,4.09,600
Salad  Carnitas ,6.95,600
16 pc Parmesan Bread Bites,2.99,590
"Bacon, Egg and Cheese Bagel",3.29,590
Premium McWrap Sweet Chili Chicken  Crispy ,4.19,590
Premium Grilled Chicken Bacon Clubhouse Sandwich,4.49,590
Burrito  Carnitas ,6.95,590
Specialty Chicken Sweet BBQ Bacon,5.99,580
Black Forest Ham 12 Inch,6.11,580
Bowl  Chicken ,6.50,578
Salad  Steak ,7.50,570
Shakes  Small ,2.19,560
Turkey Breast 12 Inch,7.49,560
Burrito  Barbacoa ,7.50,560
Frappe  Medium ,2.89,550
"Sausage, Egg and Cheese McGriddles",3.29,550
Mexican Pizza,3.39,550
Salad  Vegetarian ,6.50,550
Crunchwrap Supreme,2.69,540
Espresso and Chocolate  Medium ,2.89,540
Quarter Pounder with Cheese,3.79,540
Big Mac,3.99,540
Deluxe Quarter Pounder,4.09,540
Double FiletOFish,4.69,540
Cheesy Burrito  Fiesta Potato,1.69,530
Doritos Cheesy Gordita Crunch  Nacho Cheese,2.69,520
Hotcakes and Sausage,2.99,520
Steak Quesadilla,3.19,520
12 pc Specialty Chicken  Classic Hot Buffalo,5.99,520
1 Pc Taco  Carnitas ,2.55,518
1 Pc Taco  Barbacoa ,2.75,518
Beefy 5Layer Burrito,1.49,510
French Fries  Large ,1.79,510
Triple Cheeseburger,2.00,510
Cheesy Potato Burrito,2.59,510
Sausage Biscuit with Egg,2.79,510
Chicken Quesadilla,3.19,510
Premium Crispy Chicken Classic Sandwich,4.19,510
Premium Grilled Chicken Club Sandwich,4.49,510
12 pc Specialty Chicken  Spicy Jalapeno  Pineapple,5.99,510
Burrito  Vegetarian ,6.50,510
3 Pc Tacos  Steak ,7.50,510
Doritos Cheesy Gordita Crunch  Fiery,2.69,500
Premium McWrap Chicken and Bacon  Grilled ,3.99,500
Cantina Power Bowl  Steak,5.19,500
Cheesy Burrito  Bacon,1.69,490
Bacon Cheddar McChicken,2.00,490
Cheesy Gordita Crunch,2.69,490
Cantina Power Bowl  Chicken,4.99,490
Small Crunchy Thin Crust Cheese Pizza,5.99,490
Meatball Marinara 6 Inch,4.16,485
3 Pc Tacos  Chicken ,6.50,485
Spicy Italian 6 Inch,4.16,480
Classic Tuna 6 Inch,4.72,480
Cheesy Burrito  Sausage,1.69,470
Bacon Buffalo Ranch McChicken,2.00,470
Biscuit Taco  Chicken with Jalapeno Honey,2.69,470
Cantina Power Burrito  Steak,3.99,470
Cinnamon Melts,1.59,460
Cheese Quesadilla,2.19,460
Combo Burrito,2.39,460
Mac Jr,2.99,460
"Bacon, Egg and Cheese Biscuit",3.19,460
"Bacon, Egg and Cheese McGriddles",3.29,460
Cantina Power Burrito  Chicken,3.79,460
Chipotle Chicken Melt with Guacamole 6 Inch,5.55,460
Veggie Delite 12 Inch,6.11,460
Loaded Potato Griller,1.49,450
Frappe  Small ,2.39,450
Cheesy Burrito  Steak and Egg,2.49,450
Nachos Supreme,2.59,450
Sausage McMuffin with Egg,2.99,450
Premium Grilled Chicken Ranch BLT Sandwich,4.29,450
Premium Southwest Salad with Crispy Chicken,4.79,450
Gluten Free Crust Cheese Pizza,8.99,450
Beefy Fritos Burrito,1.00,440
Bacon McDouble,2.00,440
Espresso and Chocolate  Small ,2.39,440
Sausage Biscuit,1.00,430
Double Cheeseburger,1.69,430
McFlurry  Snack ,1.79,430
Daily Double,1.99,430
Jalapeno Double,2.00,430
7Layer Burrito,2.59,430
Sausage Gravy and Biscuit,2.69,430
Cheesy Bean and Rice Burrito,1.00,420
Sausage McGriddles,2.79,420
Premium McWrap Chicken and Ranch  Grilled ,3.99,420
Burrito Supreme  Beef,2.79,410
Southern Style Chicken Biscuit,3.89,410
Italian BMT 6 Inch,4.72,410
Cold Cut Combo 12 Inch,6.11,410
Beefy Nacho Griller,1.49,400
Chicken Burrito,1.69,400
8 pc Boneless Chicken,5.99,400
Buffalo Ranch McChicken,1.00,390
Country Grilled Breakfast Burrito  Sausage,1.29,390
Biscuit Taco  Chicken with Gravy,2.69,390
FiletOFish,3.79,390
Premium Bacon Ranch Salad with Crispy Chicken,4.59,390
8 pc Wings ,5.99,390
Biscuit Taco  Bacon Egg and Cheese,2.69,380
McDouble,3.99,380
Premium McWrap Sweet Chili Chicken  Grilled ,4.19,380
Steak and Cheese 6 Inch,5.27,380
McChicken,1.00,370
Bean Burrito,1.19,370
Chalupa Supreme  Beef,2.49,370
Sweet Onion Chicken Teriyaki 6 Inch,5.27,370
Ranch Snack Wrap  Crispy ,1.69,360
Rolled Chicken Tacos 2 Pack,1.99,360
Sausage McMuffin,2.99,360
Cold Cut Combo 6 Inch,4.16,360
Grilled Breakfast Burrito  Bacon,1.29,350
Chipotle BBQ Snack Wrap  Crispy ,1.69,350
Double Decker Taco Supreme,1.79,350
Hotcakes,2.29,350
Chalupa Supreme  Steak,3.19,350
Premium Grilled Chicken Classic Sandwich,4.19,350
BBQ Ranch Burger,1.00,340
Grilled Breakfast Burrito  Fiesta Potato,1.29,340
Grilled Breakfast Burrito  Sausage,1.29,340
French Fries  Medium ,1.59,340
Honey Mustard Snack Wrap  Crispy ,1.69,340
"Soft Drinks  NonDiet Choices, extra large ",2.19,340
Smoothies  Large ,3.39,340
Sundae,1.19,330
Cinnabon Delights 4 Pack,1.69,330
Chalupa Supreme  Chicken,2.99,330
Triple Layer Nachos,1.00,320
Egg and Cheese Biscuit,1.29,320
Double Decker Taco,1.49,320
Capt Crunch Delights  4 Pack,1.69,320
Oven Roasted Chicken 6 Inch,4.72,320
Roast Beef 6 Inch,5.27,320
Strawberry and Creme Pie,0.89,310
Caramel Apple Empanada,1.00,310
Nachos Regular,1.29,310
Biscuit Taco  Egg and Cheese,2.69,310
Subway Club 6 Inch,5.27,310
Grilled Onion Cheddar Burger,1.00,305
Sausage Flatbread Melt,1.00,300
Sausage Burrito,1.29,300
Egg McMuffin,2.79,300
Cheeseburger,1.00,290
Fruit and Maple Oatmeal,1.99,290
Gordita Supreme  Beef,2.39,290
Cheeseburger,2.79,290
Black Forest Ham 6 Inch,4.16,290
Premium Southwest Salad with Grilled Chicken,4.79,290
"Soft Drinks  NonDiet Choices, large ",1.49,280
Chipotle Ranch Chicken Loaded Griller,1.49,280
Ranch Snack Wrap  Grilled ,1.69,280
"Soft Drinks  NonDiet Choices, large ",1.99,280
Orange Juice  Large ,2.09,280
6 Pc Chicken McNuggets,3.99,280
Turkey Breast 6 Inch,4.72,280
Double Tostada,1.49,270
Honey Mustard Snack Wrap  Grilled ,1.69,270
Iced Coffee  Large ,1.99,270
Chipotle BBQ Snack Wrap  Grilled ,1.69,265
1 Pc Taco  Chicken ,2.40,265
3 Cookies,1.00,260
Smoothies  Medium ,2.89,260
Fruit Pies,0.89,250
Spicy Potato Soft Taco,1.00,250
MexiMelt,2.19,250
Egg White Delight McMuffin,2.79,250
2 McGriddles Cakes,1.00,240
Hamburger,2.49,240
A.M. Grilled Taco  Bacon,1.00,230
French Fries  Small ,1.29,230
Veggie Delite 6 Inch,4.16,230
Premium Bacon Ranch Salad with Grilled Chicken,4.59,230
Shredded Chicken Mini Quesadilla,1.00,220
A.M. Grilled Taco  Sausage,1.00,220
"Soft Drinks  NonDiet Choices, Mediun ",1.29,220
Soft Taco Supreme  Beef,1.49,220
Nacho Cheese Doritos Locos Taco Supreme,1.79,220
"Soft Drinks  NonDiet Choices, Mediun ",1.89,220
Beefy Mini Quesadilla,1.00,210
Smoothies  Small ,2.39,210
Fiery Doritos Locos Taco Supreme,1.79,205
Spicy Tostada,1.00,200
Crunchy Taco Supreme,1.49,200
Cool Ranch Doritos Locos Taco Supreme,1.79,200
Grilled Steak Soft Taco,1.99,200
Soft TacoBeef,1.19,190
Iced Coffee  Medium ,1.79,190
Orange Juice  Medium ,1.89,190
4 Pc Chicken McNuggets,1.99,190
4 Pc Chicken McNuggets,3.19,190
Cheese RollUp,1.00,180
Nacho Cheese Doritos Locos Taco,1.49,180
Caramel Apple Parfait,1.00,170
Crunchy Taco,1.19,170
Fiery Doritos Locos Taco,1.49,170
Chicken Caesar Salad,6.49,170
Cinnamon Twists,1.00,165
Soft Baked Chocolate Chip Cookie  1 Pc ,0.39,160
Soft Baked Chocolate Chip Cookie  3 Pc ,1.00,160
Cinnabon Delights 2 Pack,1.00,160
Cool Ranch Doritos Locos Taco,1.49,160
Chicken Soft Taco,1.69,160
Soft Baked Chocolate Chip Cookie 12 Pc ,3.99,160
Capt Crunch Delights  2 Pack,1.00,155
"Soft Drinks  NonDiet Choices, small ",1.00,150
Sweet Tea  Medium ,1.29,150
Sweet Tea  Large ,1.49,150
Orange Juice  Small ,1.59,150
"Soft Drinks  NonDiet Choices, small ",1.69,150
Hash Browns,1.00,147
Vanilla Cone,1.00,146
Hash Brown,1.00,145
Iced Coffee  Small ,1.59,140
Tropicana Orange Juice,1.99,140
Milk,1.00,100
"Soft Drinks  NonDiet Choices, extra large ",2.19,36
"Soft Drinks  Diet Choices, large ",1.49,35
"Soft Drinks  Diet Choices, large ",1.99,23
"Soft Drinks  Diet Choices, Mediun ",1.29,22
Side Salad,1.00,20
Premium Roast Coffee  Large ,1.29,17
Apple Slices  2 Bags ,1.00,15
Premium Roast Coffee  Medium ,1.19,11
"Soft Drinks  Diet Choices, Mediun ",1.89,11
"Soft Drinks  Diet Choices, small ",1.00,10
